Participant,Question,Response,Needs Reverse Coding?,Temp Coded Value,Temp Reversed Coded Value,Recoded Value
1,F1,Somewhat Agree,No,4,2,4
2,F1,Somewhat Agree,No,4,2,4
3,F1,Strongly Agree,No,5,1,5
4,F1,Somewhat Agree,No,4,2,4
5,F1,Strongly Agree,No,5,1,5
6,F1,Strongly Agree,No,5,1,5
7,F1,Strongly Agree,No,5,1,5
8,F1,Strongly Agree,No,5,1,5
9,F1,Strongly Agree,No,5,1,5
10,F1,Strongly Agree,No,5,1,5
11,F1,Somewhat Agree,No,4,2,4
12,F1,Strongly Agree,No,5,1,5
13,F1,Somewhat Agree,No,4,2,4
14,F1,Somewhat Agree,No,4,2,4
15,F1,Somewhat Agree,No,4,2,4
16,F1,Neither Agree nor Disagree,No,3,3,3
17,F1,Somewhat Agree,No,4,2,4
18,F1,Somewhat Agree,No,4,2,4
19,F1,Somewhat Agree,No,4,2,4
20,F1,Neither Agree nor Disagree,No,3,3,3
21,F1,Neither Agree nor Disagree,No,3,3,3
22,F1,Strongly Agree,No,5,1,5
23,F1,Neither Agree nor Disagree,No,3,3,3
24,F1,Strongly Agree,No,5,1,5
25,F1,Strongly Agree,No,5,1,5
26,F1,Somewhat Agree,No,4,2,4
27,F1,Somewhat Agree,No,4,2,4
28,F1,Neither Agree nor Disagree,No,3,3,3
29,F1,Neither Agree nor Disagree,No,3,3,3
30,F1,Somewhat Agree,No,4,2,4
31,F1,Strongly Agree,No,5,1,5
32,F1,Somewhat Agree,No,4,2,4
33,F1,Neither Agree nor Disagree,No,3,3,3
34,F1,Strongly Agree,No,5,1,5
35,F1,Somewhat Agree,No,4,2,4
36,F1,Somewhat Disagree,No,2,4,2
37,F1,Strongly Agree,No,5,1,5
38,F1,Neither Agree nor Disagree,No,3,3,3
39,F1,Neither Agree nor Disagree,No,3,3,3
40,F1,Strongly Agree,No,5,1,5
41,F1,Neither Agree nor Disagree,No,3,3,3
42,F1,Strongly Agree,No,5,1,5
43,F1,Strongly Agree,No,5,1,5
44,F1,Somewhat Agree,No,4,2,4
45,F1,Strongly Agree,No,5,1,5
46,F1,Neither Agree nor Disagree,No,3,3,3
47,F1,Neither Agree nor Disagree,No,3,3,3
48,F1,Strongly Agree,No,5,1,5
49,F1,Somewhat Agree,No,4,2,4
50,F1,Somewhat Agree,No,4,2,4
51,F1,Somewhat Agree,No,4,2,4
52,F1,Somewhat Agree,No,4,2,4
53,F1,Strongly Agree,No,5,1,5
54,F1,Strongly Agree,No,5,1,5
55,F1,Somewhat Agree,No,4,2,4
56,F1,Somewhat Agree,No,4,2,4
57,F1,Strongly Agree,No,5,1,5
58,F1,Strongly Agree,No,5,1,5
59,F1,Somewhat Agree,No,4,2,4
60,F1,Strongly Agree,No,5,1,5
61,F1,Somewhat Disagree,No,2,4,2
62,F1,Strongly Agree,No,5,1,5
63,F1,Somewhat Agree,No,4,2,4
64,F1,Strongly Agree,No,5,1,5
65,F1,Neither Agree nor Disagree,No,3,3,3
66,F1,Somewhat Agree,No,4,2,4
67,F1,Strongly Agree,No,5,1,5
68,F1,Strongly Agree,No,5,1,5
69,F1,Strongly Agree,No,5,1,5
70,F1,Strongly Agree,No,5,1,5
71,F1,Strongly Agree,No,5,1,5
72,F1,Somewhat Agree,No,4,2,4
73,F1,Strongly Agree,No,5,1,5
74,F1,Strongly Agree,No,5,1,5
75,F1,Neither Agree nor Disagree,No,3,3,3
76,F1,Strongly Agree,No,5,1,5
77,F1,Somewhat Agree,No,4,2,4
78,F1,Strongly Agree,No,5,1,5
79,F1,Strongly Agree,No,5,1,5
80,F1,Strongly Agree,No,5,1,5
81,F1,Strongly Agree,No,5,1,5
82,F1,Somewhat Agree,No,4,2,4
83,F1,Neither Agree nor Disagree,No,3,3,3
84,F1,Neither Agree nor Disagree,No,3,3,3
85,F1,Somewhat Disagree,No,2,4,2
86,F1,Somewhat Agree,No,4,2,4
87,F1,Somewhat Agree,No,4,2,4
88,F1,Strongly Agree,No,5,1,5
89,F1,Somewhat Agree,No,4,2,4
90,F1,Somewhat Agree,No,4,2,4
91,F1,Somewhat Agree,No,4,2,4
92,F1,Somewhat Agree,No,4,2,4
93,F1,Strongly Agree,No,5,1,5
94,F1,Somewhat Agree,No,4,2,4
95,F1,Strongly Agree,No,5,1,5
96,F1,Strongly Agree,No,5,1,5
97,F1,Somewhat Agree,No,4,2,4
98,F1,Strongly Agree,No,5,1,5
99,F1,Strongly Agree,No,5,1,5
100,F1,Neither Agree nor Disagree,No,3,3,3
101,F1,Somewhat Agree,No,4,2,4
102,F1,Somewhat Agree,No,4,2,4
103,F1,Somewhat Agree,No,4,2,4
104,F1,Neither Agree nor Disagree,No,3,3,3
105,F1,Somewhat Agree,No,4,2,4
106,F1,Strongly Agree,No,5,1,5
107,F1,Strongly Agree,No,5,1,5
108,F1,Somewhat Agree,No,4,2,4
109,F1,Somewhat Agree,No,4,2,4
110,F1,Strongly Agree,No,5,1,5
111,F1,Strongly Agree,No,5,1,5
112,F1,Strongly Agree,No,5,1,5
113,F1,Strongly Agree,No,5,1,5
114,F1,Somewhat Agree,No,4,2,4
115,F1,Somewhat Agree,No,4,2,4
116,F1,Somewhat Agree,No,4,2,4
117,F1,Strongly Agree,No,5,1,5
118,F1,Neither Agree nor Disagree,No,3,3,3
119,F1,Somewhat Agree,No,4,2,4
120,F1,Strongly Agree,No,5,1,5
121,F1,Somewhat Agree,No,4,2,4
122,F1,Somewhat Agree,No,4,2,4
123,F1,Somewhat Agree,No,4,2,4
124,F1,Strongly Agree,No,5,1,5
125,F1,Somewhat Agree,No,4,2,4
126,F1,Somewhat Agree,No,4,2,4
127,F1,Somewhat Agree,No,4,2,4
128,F1,Somewhat Agree,No,4,2,4
129,F1,Somewhat Agree,No,4,2,4
130,F1,Strongly Agree,No,5,1,5
131,F1,Strongly Agree,No,5,1,5
132,F1,Strongly Agree,No,5,1,5
133,F1,Somewhat Agree,No,4,2,4
134,F1,Neither Agree nor Disagree,No,3,3,3
135,F1,Strongly Agree,No,5,1,5
136,F1,Strongly Agree,No,5,1,5
137,F1,Somewhat Agree,No,4,2,4
138,F1,Somewhat Agree,No,4,2,4
139,F1,Strongly Agree,No,5,1,5
140,F1,Somewhat Agree,No,4,2,4
141,F1,Somewhat Agree,No,4,2,4
142,F1,Strongly Agree,No,5,1,5
143,F1,Somewhat Agree,No,4,2,4
144,F1,Strongly Agree,No,5,1,5
145,F1,Strongly Agree,No,5,1,5
146,F1,Strongly Agree,No,5,1,5
147,F1,Somewhat Agree,No,4,2,4
148,F1,Somewhat Agree,No,4,2,4
149,F1,Strongly Agree,No,5,1,5
150,F1,Strongly Agree,No,5,1,5
151,F1,Strongly Agree,No,5,1,5
152,F1,Somewhat Agree,No,4,2,4
153,F1,Somewhat Agree,No,4,2,4
154,F1,Strongly Agree,No,5,1,5
155,F1,Somewhat Agree,No,4,2,4
156,F1,Strongly Agree,No,5,1,5
157,F1,Strongly Agree,No,5,1,5
158,F1,Strongly Agree,No,5,1,5
159,F1,Somewhat Agree,No,4,2,4
160,F1,Somewhat Agree,No,4,2,4
161,F1,Somewhat Agree,No,4,2,4
162,F1,Somewhat Agree,No,4,2,4
163,F1,Strongly Agree,No,5,1,5
164,F1,Somewhat Agree,No,4,2,4
165,F1,Strongly Agree,No,5,1,5
166,F1,Somewhat Agree,No,4,2,4
167,F1,Somewhat Agree,No,4,2,4
168,F1,Strongly Agree,No,5,1,5
169,F1,Strongly Agree,No,5,1,5
170,F1,Strongly Agree,No,5,1,5
171,F1,Strongly Agree,No,5,1,5
172,F1,Strongly Agree,No,5,1,5
173,F1,Neither Agree nor Disagree,No,3,3,3
174,F1,Somewhat Agree,No,4,2,4
175,F1,Strongly Agree,No,5,1,5
176,F1,Somewhat Agree,No,4,2,4
177,F1,Strongly Agree,No,5,1,5
178,F1,Somewhat Agree,No,4,2,4
179,F1,Strongly Agree,No,5,1,5
180,F1,Strongly Agree,No,5,1,5
181,F1,Strongly Agree,No,5,1,5
182,F1,Strongly Agree,No,5,1,5
183,F1,Strongly Agree,No,5,1,5
184,F1,Strongly Agree,No,5,1,5
185,F1,Strongly Agree,No,5,1,5
186,F1,Strongly Agree,No,5,1,5
187,F1,Strongly Agree,No,5,1,5
188,F1,Strongly Agree,No,5,1,5
189,F1,Somewhat Agree,No,4,2,4
190,F1,Strongly Agree,No,5,1,5
191,F1,Somewhat Agree,No,4,2,4
192,F1,Neither Agree nor Disagree,No,3,3,3
193,F1,Somewhat Agree,No,4,2,4
194,F1,Somewhat Agree,No,4,2,4
195,F1,Somewhat Agree,No,4,2,4
196,F1,Somewhat Agree,No,4,2,4
197,F1,Somewhat Agree,No,4,2,4
198,F1,Strongly Agree,No,5,1,5
199,F1,Strongly Agree,No,5,1,5
200,F1,Strongly Agree,No,5,1,5
201,F1,Somewhat Agree,No,4,2,4
202,F1,Somewhat Agree,No,4,2,4
203,F1,Strongly Agree,No,5,1,5
204,F1,Somewhat Agree,No,4,2,4
205,F1,Strongly Agree,No,5,1,5
206,F1,Somewhat Agree,No,4,2,4
207,F1,Strongly Agree,No,5,1,5
208,F1,Somewhat Agree,No,4,2,4
209,F1,Strongly Agree,No,5,1,5
210,F1,Somewhat Agree,No,4,2,4
211,F1,Somewhat Agree,No,4,2,4
212,F1,Somewhat Agree,No,4,2,4
213,F1,Strongly Agree,No,5,1,5
214,F1,Strongly Agree,No,5,1,5
215,F1,Strongly Agree,No,5,1,5
216,F1,Strongly Agree,No,5,1,5
217,F1,Somewhat Agree,No,4,2,4
218,F1,Strongly Agree,No,5,1,5
219,F1,Somewhat Agree,No,4,2,4
220,F1,Strongly Agree,No,5,1,5
221,F1,Neither Agree nor Disagree,No,3,3,3
222,F1,Strongly Agree,No,5,1,5
223,F1,Strongly Agree,No,5,1,5
224,F1,Strongly Agree,No,5,1,5
